SHOW,DATE OF APPEARANCE,PUNDIT NAME,GENDER,RACE,AGE,POLITICAL AFFILIATION,EDUCATION,OCCUPATION,
Politics Unplugged,42431,Hillary Clinton,Female,White,65-74,Democrat,JD,Politics/Policy,
Politics Unplugged,42427,Donald Zuckerman,Male,White,65-74,Democrat,JD,Management,
Politics Unplugged,42427,Meg Froelich,Female,White,45-54,Democrat,MA,"Arts, Design, Entertainment, Sports, and Media",
Politics Unplugged,42421,Kieran Doyle,Male,White,18-24,Democrat,High school,Advocacy,
Politics Unplugged,42421,Greg Brophy,Male,White,45-54,Republican,BA,Politics/Policy,
Politics Unplugged,42421,Mark Ferrandino,Male,White,35-44,Democrat,MA,Politics/Policy,
Politics Unplugged,42414,Corey Hutchins,Male,White,25-34,Unaffiliated,BA,"Arts, Design, Entertainment, Sports, and Media",
Politics Unplugged,42414,Kristen Wyatt,Female,White,35-44,Unaffiliated,BA,"Arts, Design, Entertainment, Sports, and Media",
Politics Unplugged,42414,Steve Welchert,Male,White,55-64,Democrat,MA,Politics/Policy,
Politics Unplugged,42414,Krista Kafer,Female,White,35-44,Republican,MA,"Arts, Design, Entertainment, Sports, and Media",
Politics Unplugged,42407,Dan Diaz,Male,White,35-44,Democrat,?,Advocacy,
Politics Unplugged,42407,Michael Hancock,Male,African American,45-54,Democrat,MA,Management,
Politics Unplugged,42407,Hillary Clinton,Female,White,65-74,Democrat,JD,Politics/Policy,
Politics Unplugged,42407,Matthew Payne,Male,White,35-44,?,BA,"Arts, Design, Entertainment, Sports, and Media",
Politics Unplugged,42400,Peter Hanson,Male,White,35-44,Democrat,PhD,Education/Research,
Politics Unplugged,42400,Bruce Messinger,Male,White,55-64,Democrat,PhD,Management,
Politics Unplugged,42400,Liz Fagen,Female,White,35-44,Unaffiliated,PhD,Management,
Politics Unplugged,42392,Neha Mahajan,Female,Asian and Pacific Islander,35-44,Unaffiliated,?,Politics/Policy,
Politics Unplugged,42392,Lily Griego,Female,Hispanic and Latino,45-54,Democrat,MA,Politics/Policy,
Politics Unplugged,42392,Jessie Danielso,Female,White,35-44,Democrat,BA,Politics/Policy,
Politics Unplugged,42392,Robert Preuhs,Male,White,45-54,Democrat,PhD,Education/Research,
Politics Unplugged,42392,Shailen Bhatt,Male,Other,35-44,Democrat,BA,Management,
Politics Unplugged,42389,Kevin Lundberg,Male,White,65-74,Republican,BA,Politics/Policy,
Politics Unplugged,42389,Doug Wilson,Male,White,35-44,Republican,JD,Legal,
Politics Unplugged,42389,Kim Ransom,Female,White,55-64,Republican,MA,Politics/Policy,
Politics Unplugged,42386,Steve Welchert,Male,White,55-64,Democrat,MA,Politics/Policy,
Politics Unplugged,42386,Dickie Lee Hullinghorst,Female,White,66-74,Democrat,BA,Politics/Policy,
Politics Unplugged,42386,Bill Cadman,Male,White,55-64,Republican,BA,Politics/Policy,
